,abstract,author,download_number,field,foundation,issue,keyword,number,organization,page,page_number,size,title,year
0,"为探究色彩参数与苦菜长势的关系,选取苦菜叶片图像色彩参数指标R、G、B、R/(R+G+B)、G/(R+G+B)、B/(R+G+B)、R/G、R/B、G/B共9个指标与叶绿素含量进行相关性分析。结果表明:除G指标和R/B指标与叶绿素含量的相关性未达到显著性相关外,其余7个色彩参数指标与叶绿素含量均达到极显著性相关,其中G/(R+G+B)、B/(R+G+B)和G/B这三个指标与叶绿素含量的相关系数分别为:-0.829,0.831,-0.834,均达到0.8以上。选取相关性较优的7个色彩参数指标与叶绿素含量进行回归分析,发现苦菜叶片图像色彩参数B/(R+G+B)指标的线性模型(y=Ax+B)和G/B指标的模型(y=Alnx+B)拟合效果优于本研究构建的其他指标和模型,决定系数分别为0.6962和0.7185。本研究结果可为苦菜长势快速监测提供参考。","['刘子恒', '敏乾', '李海翼']",6,['园艺'],['2015年甘肃省高等学校科学研究项目(2015B-123)'],6,"['苦菜叶片', '图像色彩参数', '叶绿素含量', '回归模型']",3,['甘肃民族师范学院物理与水电工程系'],11-13+38,4,107K,数字图像技术在苦菜叶绿素含量测量中的应用,2017
1,"在采用传统固相烧结工艺制备0-3型x Ni0.7Zn0.3Fe2O4-（1-x）BaTiO3（x=0.00,0.15,0.30,0.45）多铁复合陶瓷靶材和采用PLD技术探索纯相BaTiO3薄膜溅射工艺的基础上,本文在不同激光能量条件下分别在Pt（111）/Ti/SiO2/Si、0.5%铌掺杂的钛酸锶（STO:0.5%Nb）和钌酸锶（SRO）衬底上制备了相应配比的0-3型xNi0.7Zn0.3Fe2O4-（1-x）BaTiO3（x=0.15,0.3,0.45）复合薄膜。然后详细研究了这些复合薄膜的极化行为和影响因素,以期获得更优化的PLD工艺参数。","['张荣芬', '郭凯鑫']",1,"['材料科学', '工业通用技术及设备', '电力工业']","['贵州科技厅与贵州大学联合基金项目资助(黔科合LH字[2014]7612)', '贵州大学人才引进项目资助([2014]30)']",6,"['脉冲激光沉积', '镍锌铁氧体-钛酸钡', '极化', '过程参数']",4,['贵州大学大数据与信息工程学院'],14-20,7,822K,PLD法制备0-3型xNZF-(1-x)BTO多铁复合薄膜及其极化行为研究（英文）,2017
2,"为深入研究胶磷矿-石英浮选分离机制,揭示胶磷矿、石英表面电子性质及与浮选药剂作用原理,采用Material Studio软件对氟磷灰石(001)面与石英(001)面电子性质及胺类捕收剂吸附作用进行研究。结果表明,氟磷灰石中氧原子及钙原子活性较大,同时表面Ca原子正电荷较大,Ca3d态在价带部分表现出较强的金属活性,导致其在参与化学反应时不易与阳离子捕收剂作用;而石英表面O原子负电荷较大,O2p态在费米能级处贡献最大,表面O原子活性较强,其在参与化学反应时易与阳离子捕收剂作用。两种矿物表面原子电荷及电子态密度差异是其与药剂相互作用差异的主要原因;胺类捕收剂对石英结合能力明显大于氟磷灰石,对石英结合能大小分别为醚胺类>多胺类>烷基伯胺类。","['王贤晨', '张覃', '陈建华', '谢俊', '谢飞', '李龙江']",13,['矿业工程'],['国家自然科学基金项目资助(51474078)'],6,"['氟磷灰石', '石英', '表面电子性质', '态密度', '胺类捕收剂']",5,"['贵州大学矿业学院', '喀斯特地区优势矿产资源高效利用国家地方联合工程实验室', '贵州省非金属矿产资源综合利用重点实验室', '广西大学资源与冶金学院']",21-28,8,347K,氟磷灰石与石英表面电子性质及胺类捕收剂吸附作用研究,2017
3,"为提高液压挖掘机的能量利用率,本文提出了一种新的动臂势能回收方法,把动臂下落时的回油腔通过回转马达连接到一个蓄能器,动臂下落时的势能转化为蓄能器的液压能,在动臂提升时蓄能器的液压能转化为动臂的势能。蓄能器的压力用来辅助驱动回转泵的转动,这样就可以减少回转马达功率的输入,通过调整马达的排量来控制动臂提升和下落的速度,利用两个液控单向阀来实现系统的保压。这种方法没有其他元件的能量转换回收效率高。通过仿真验证了这种方法的可行性,实现了动臂势能的回收,为动臂势能回收的实际应用提供了参考。","['贺福强', '杜希亮', '周金松', '解思状', '韩雄']",5,['建筑科学与工程'],['贵州省科技厅重大科技专项资助项目(黔科合重大专项字[2016]3014)'],6,"['势能回收', '节能回路', '液压蓄能器', '挖掘机动臂']",6,"['贵州大学机械工程学院', '贵州詹阳动力重工有限公司']",29-33,5,437K,液压挖掘机动臂势能再生系统的研究,2017
4,"为了解决小型折耳根收获机在振动挖掘铲上容易出现壅土的现象,设计出配套振动挖掘铲使用的辅助刨土机构。首先根据振动挖掘铲的工作状态、辅助刨土机构工作距离以及挖掘铲铲面上土壤的平均高度来确定辅助刨土机构运动轨迹的关键点,然后以辅助刨土机构的几何关系、约束条件、边界条件、实际运动轨迹与给定轨迹之间的误差建立数学模型,最后使用遗传模拟退火算法(GSA)对其进行优化。结果表明,辅助刨土机构的各杆长度和安装角度都满足设计要求,并且实际运动轨迹与给定运动轨迹误差较小。","['张奎', '尹健', '王泽宇', '殷彦强']",1,['农业工程'],['贵州省科技厅农业攻关项目(黔科合NZ字[2013]3059)'],6,"['小型折耳根收获机', '辅助刨土机构', '运动轨迹', '遗传模拟退火算法']",7,['贵州大学机械工程学院'],34-38,5,215K,小型折耳根收获机辅助刨土机构的优化设计,2017
5,"以集成经验模式分解(EEMD)与极限学习机(ELM)为理论基础,提出了将其有机结合进行短期电力负荷预测的方法。首先运用EEMD对短期负荷时间序列进行自适应分解,在此基础上针对分解后不同分量的变化特点,建立相对应的ELM模型进行预测,进而将各分量的预测结果重构以得到最终预测结果。通过实例分析表明该模型的预测精度要优于单极限学习机模型、单支持向量机模型和神经网络模型,同时也验证了该模型应用于短期负荷预测的有效性和可行性。",['张宁'],7,['电力工业'],['福建省中青年教师教育科研项目(JAT170437)'],6,"['集成经验模式分解', '极限学习机', '短期电力负荷预测', '支持向量机', '神经网络']",8,['闽江学院物理学与电子信息工程系'],39-42+48,5,251K,基于EEMD和极限学习机的短期电力负荷预测模型,2017
6,"模块化多电平换流器(Modular Multilevel Converter,MMC)的子模块是其核心部件。结合MMC在中压直流配电网领域的广阔前景,分析了MMC常见的半桥型、全桥型子模块结构。简化半桥型、全桥型、混合型三种子模块结构的MMC在直流侧双极短路故障时的等效电路,从理论上分析了三种子模块结构的MMC对直流侧双极短路故障的抑制能力。针对三种子模块结构MMC,分别通过基于PSCAD/EMTDC的两端MMC系统的仿真,验证了理论分析的正确性。得出在中压直流配电网中,混合型子模块结构MMC在技术上的可行性和经济上的优越性。为未来中压直流配电网中换流器子模块拓扑的选择提供参考。","['唐圣辉', '袁旭峰', '唐立', '李宁', '张天卫', '谈竹奎']",9,['电力工业'],"['国家自然科学基金(51667007)', '中国南方电网有限责任公司重点科技项目(GZKJQQ00000417)']",6,"['模块化多电平换流器', '半桥型子模块', '全桥型子模块', '混合型子模块', '直流故障']",9,"['贵州大学电气工程学院', '贵州电力科学研究院']",43-48,6,360K,不同子模块MMC在中压直流配电网中的应用研究,2017
7,"针对电力负荷预测粒子群优化最小二乘支持向量机(Least Squares Support Vector Machine,LSSVM)模型输入节点难以确定的问题,提出了一种基于数据分组处理方法(Group Method of Data Handling,GMDH)来优化PSO-LSSVM(Particle Swarm Optimization-Least Squares Support Vector Machine)的中长期电力负荷预测预测方法。该方法是首先利用GMDH算法获得LSSVM建模中的输入变量;然后利用基于自适应变异的PSO算法对LSSVM建模中的参数进行优化,选用某地区2008~2013年的历史数据作为模型的训练样本建立模型;最后使用训练好的GMDHPSO-LSSVM模型对2014、2015年的用电量进行外推预测。组合模型预测结果表明该方法达到了较高的预测精度,预测精度提高了2.21%。","['龙金莲', '卢家暄', '张玉分', '王家忠', '陶然']",4,"['电力工业', '自动化技术']",['国家自然科学基金项目(51567005)'],6,"['负荷预测', '数据分组处理方法', '粒子群算法', '最小二乘支持向量机']",10,"['贵州大学电气工程学院', '贵州大学大数据与信息工程学院', '云南省特种设备安全检测研究院']",49-53+84,6,201K,基于GMDH-PSO-LSSVM中长期电力负荷预测,2017
8,"不平衡数据广泛存在于现实世界中,严重影响了传统分类器的分类性能。本文提出了随机平衡采样算法(random balance sampling,RBS),并以此为基础提出了随机平衡采样bagging算法(RBSBagging)用于解决不平衡数据集的分类问题。最后,采用6组UCI数据集对提出的分类算法进行验证,结果表明本文提出的RBSBagging算法可以较好地解决不平衡数据集的分类问题。","['季梦遥', '袁磊']",7,['计算机软件及计算机应用'],['中央高校基本科研业务费专项资金资助(302-410500195)'],6,"['不平衡数据', '采样', 'bagging算法']",11,"['武汉大学人民医院消化内科', '武汉大学人民医院信息中心']",54-58,5,283K,不平衡数据的随机平衡采样bagging算法分类研究,2017
9,"本文阐述一种电梯门关门阻止力及动能检测装置的结构、硬件以及软件设计。该系统采用标准弹簧将电梯门的关门行程动能转换为弹性势能,同时采用位移传感器对弹簧形变量进行检测,并根据能量转换关系及胡克定律计算出电梯门的关门阻止力及动能,达到间接测量的目的。传感器输出信号经AD转换后送至CC2530处理器进行数据处理,进而通过ZigBee无线协议发送至上位机(工业平板电脑)进行数据分析和存储。系统性能可靠,数据科学,检验人员通过手持平板电脑即可实现智能检测,提高工作效率。经实际应用证明,该系统具有一定的推广应用价值。","['杨朝磊', '王民慧', '覃涛', '杨健晟']",5,"['建筑科学与工程', '自动化技术']",['国家质量监督检验检疫总局科技计划项目(2015QK196)'],6,"['电梯门', '关门阻止力', '关门行程动能', 'ZigBee', '智能检测']",12,['贵州大学电气工程学院'],59-63,5,608K,电梯门关门阻止力及动能无线检测系统设计,2017
10,"本文基于通用实时仿真器(UREP),开发了该电机控制平台,并在该平台设计了开环变压变频调速系统。先进行Matlab/Simulink离线仿真,然后在实验室的样机上进行了实验验证。实验结果和离线仿真结果一致,实现了电机电压和频率的实时控制,以及转速、转矩、电压和电流量的采集。为更进一步的研究奠定了基础。","['李留生', '杨旭', '郝正航', '陈卓', '闫桂杭']",4,"['电力工业', '计算机硬件技术']","['国家自然科学基金资助项目(51467003)', '国家自然科学基金(51567005)', '贵州大学高等教育研究项目(Gdgj2016002)']",6,"['通用实时仿真器(UREP)', '电机控制平台', '变压变频(VVVF)']",13,['贵州大学电气工程学院'],64-68,5,369K,基于实时仿真器的电机控制平台的开发,2017
11,"游客在线评论反映了游客实地旅行之后关于旅游景点和服务的真实感受,本文构建了一个基于景点在线评论文本的游客关注度和情感分析方法。该方法首先从主流旅游网站的评论专区中获取景点的评论文本并进行预处理,然后基于《知网》词汇语义相似度,结合词频分析,通过构建""旅游形象属性-触发词""词表,分别计算评论信息中旅游形象属性的游客关注度。最后建立褒贬义情感词典,对处理后的评论文本情感分析。该方法能够直观显示景点在线评论信息中旅游形象的游客评论关注点和总体情感倾向,为潜在游客的景点选择提供参考依据。以厦门市旅游景点的评论文本为例,验证了该方法的可行性。","['王少兵', '吴升']",31,['计算机软件及计算机应用'],"['国家政务大数据应用工程技术研究中心培育项目(2016L3007)', '福建省科技创新平台建设项目(2015H2001)']",6,"['旅游', '在线评论', '旅游形象', '游客关注度', '情感分析']",14,['福州大学福建省空间信息工程研究中心海西政务大数据应用协同创新中心'],69-73,5,176K,基于景点在线评论文本的游客关注度和情感分析,2017
12,"影像分割是面向对象信息提取的关键,其分割结果的精度高低将对信息提取结果精度产生重要影响。本文在研究均值漂移(Mean shift)算法的基础上,对图像的多维特征向量加以改进。该改进算法先通过改进颜色特征距离公式来对高分辨率遥感影像进行预处理,然后加入纹理特征向量,并设置纹理特征的参数值和迭代次数,进而对高分辨率遥感影像进行分割。文章采用该改进的均值漂移算法对遥感影像进行分割实验,并与业界公认的ecognition软件的分割结果进行对比,实验结果表明:该改进算法得到的分割精度更高,能得到更好的分割结果。","['李婷婷', '王晓红', '邓仕雄']",6,"['工业通用技术及设备', '自动化技术']","['贵州省自然科学基金项目(黔科合J字[2014]2070)', '贵州省科技计划课题(黔科合LH字[2014]7649)', '贵州省研究生教育教学改革重点课题(黔教研合JG字[2015]010)', '贵州大学研究生重点课程建设项目(贵大研ZDKC[2015]008)', '贵州大学测绘科学与技术研究生创新实践基地建设项目(贵大研CXJD[2014]002)']",6,"['高分辨率遥感影像', '均值漂移算法', '纹理特征', '影像分割']",15,"['贵州大学矿业学院', '贵州大学林学院']",74-78,5,892K,基于改进的均值漂移算法的高分辨率遥感影像分割方法研究,2017
13,"楼盖作为轻钢龙骨房屋的主要构件,承担平面外的荷载和发挥水平传力作用,通过对比轻钢龙骨房屋楼盖在刚、弹性假定下,分析楼盖不同开洞率的模态、质量参与系数、基底剪力、结构最大位移、楼盖应力。得出轻钢龙骨房屋在地震作用下刚、弹性楼盖两种假定对不同开洞率楼盖的模态、结构的最大位移计算结果相差不大,可以忽略。对于基底剪力在开洞率小于20%时,楼盖刚性假定比弹性假定要大,当开洞率大于40%时,楼盖的刚性假定偏小,对结构设计不利,则楼盖开洞率较大时应采用弹性假定更为安全合理。","['崔凯', '柏洁', '谢嘉骥']",1,['建筑科学与工程'],['基金项目:贵州省教育厅(黔科合J子[2010]2246号)'],6,"['轻钢龙骨', '刚弹性楼盖', '开洞率', '动力响应']",16,['贵州大学土木工程学院'],79-84,6,205K,地震作用下楼盖开洞对轻钢龙骨房屋的动力分析,2017
14,"本试验在磷石膏基体中掺入长度为3 mm的聚乙烯纤维,根据7组不同聚乙烯纤维掺量的磷石膏配合比,制作了42个100 mm×100 mm×100 mm立方体试件,对试件进行压缩试验。试验结果表明:聚乙烯增强磷石膏复合材料的破坏形态主要为劈裂破坏、X形破坏和局部破坏三种;聚乙烯纤维的掺入,可有效控制裂缝的扩展,可提高材料的强度和延性,防止脆性破坏。复合材料的抗压强度随着纤维掺量的增加,先增大,后减小;当纤维掺量在1.5%左右时,获得最大强度(约5.10 MPa),相比于未掺纤维磷石膏强度(约3.51 MPa),抗压强度提高了45.3%。通过分析应力-应变曲线,并结合东华应变测试系统,得到纤维掺量为0%和1.5%时试件的弹性模量,分别为1739.01 MPa和2700.07 MPa,可为实际工程提供参考。","['曾洲', '陈红鸟', '易秋', '王青原', '黄兴震']",7,['材料科学'],"['国家自然科学基金项目(51768011)', '贵州省留学人员科技创新项目([2016]17)', '贵州省科学技术基金项目([2016]1040)']",6,"['聚乙烯纤维', '磷石膏', '复合材料', '抗压强度', '弹性模量']",17,['贵州大学空间结构研究中心'],85-89,5,316K,聚乙烯纤维增强磷石膏试件力学性能试验研究,2017
15,"为研究起拱对钢筋混凝土空腹夹层板结构静力性能的影响,分别建立了起拱以及未起拱时从施工到正常使用的全过程模型,并将起拱与未起拱的分析结果进行对比。研究表明:起拱后支撑钢管轴力、框架柱剪力、上下肋弯矩、下肋拉力及压力、剪力键剪力等变化不大,上肋拉力、压力均有所降低且变化较为明显,从安全性考虑,在对上下肋及剪力键进行设计时可不考虑起拱影响;起拱后楼板变形基本无变化,表层薄板x、y向拉应力明显降低,且跨度越大楼板拉应力降低幅度越大,从经济性考虑,建议在对表层薄板进行设计时考虑起拱所带来的影响,并将其视为整体进行考虑,跨中区域的表层薄板按压-弯构件进行构造配筋,边节间区域的表层薄板按拉-弯构件进行计算配筋。","['王惠', '申波', '刘盼盼', '何智', '赵啸峰', '马克俭', '田子东']",10,['建筑科学与工程'],"['国家自然科学基金项目(51468007)', '贵州省教育厅自然科学研究项目(黔教合KY字[2015]364号)', '“十二五”国家科技支撑计划(2011BAJ09B01-01)']",6,"['空腹夹层板', '起拱', '应力', '裂缝']",18,['贵州大学空间结构研究中心'],90-97,8,660K,钢筋混凝土空腹夹层板起拱的静力性能分析,2017
16,"以关岭创都公司开发的农产品批发市场中美食城5#楼为算例,建立了结构的有限元计算模型,对其进行地震响应分析。采用三条地震波对人字形密肋式折板壳的有限元模型进行仿真分析,并将时程分析结果与振型分解反应谱法进行比较分析;结果表明屋盖的下一层较为薄弱,其层间位移角明显增大,楼层剪力出现拐点,在工程应用中需要引起足够的重视,同时地震波的选取对所得的计算结果影响较大,研究结果将为人字形密肋式折板壳的设计提供重要的理论依据。","['宋勇', '张华刚', '姜岚', '吴琴', '杨碧超', '柳勇斌']",4,['建筑科学与工程'],['国家自然科学基金项目资助(51568012)'],6,"['人字形密肋式折板壳结构', '地震响应', '时程分析', '振型分解反应谱分析']",19,"['贵州大学空间结构研究中心', '湖南大学土木工程学院']",98-104,7,4306K,人字形密肋式折板壳结构地震响应分析,2017
17,"选取冬季作为调研季节,对贵州黔中地区青岩古镇民居进行温度数据调查,及进行光环境BIM软件模拟。结果表明:结合实测温度数据以及软件模拟分析,贵州黔中地区青岩古镇民居在房屋保温舒适度方面较好,冬季室内温度为10.5~14.5℃,民居室内保温性能良好;室内空间光量度低或形成局部暗阁,民居光环境并不理想。说明民居保温舒适度与建筑材料、建筑构造有关;光环境舒适度与房屋进深、门窗洞口大小、门窗洞口数量有关。并总结了两种适合贵州黔中地区的建筑绿色改善方法。","['王尨', '王红', '苏芝兰']",14,"['建筑科学与工程', '计算机软件及计算机应用']",['国家自然科学基金项目(51078099):“喀斯特环境与乡土建筑的节能研究”'],6,"['光热环境', '舒适度', '绿色建筑']",20,"['贵州大学林学院', '贵州大学建筑与城市规划学院']",105-109,5,332K,基于BIM软件中光热环境下的绿色建筑研究——以贵州喀斯特黔中传统民居为例,2017
18,"为提高城市快速路汇流瓶颈区交通流通行效率,有效控制路段交通流混沌现象的发生,以瓶颈区交通流占有率是否超过阈值为启动条件,建立以汇流瓶颈区交通流占有率、平均车速为输入,主线限速值为输出的主线交通流自适应神经模糊混沌控制器;并对交通流混沌控制的最佳启动阈值、最佳控制周期进行仿真分析。仿真结果显示,当启动阈值取瓶颈区交通流占有率为30%,控制周期为两分钟时,控制效果最佳,此时路段混沌断面相对于无控制情况减少了60%,交通流总行程时间减少了0.42%,总延误减少了58.25%,说明该方法能够有效抑制交通混沌,提高交通流的通行效率。","['吴德华', '林毅']",[],['公路与水路运输'],['福建省自然科学基金项目(2016J01230)'],6,"['城市交通', '瓶颈路段', '主线可变限速控制', '混沌控制', '仿真']",21,['福州大学土木工程学院'],110-114,5,209K,基于混沌的汇流瓶颈区交通流模糊控制与仿真研究,2017
19,"本文针对典型轨枕松动后雨水浸入导致裂纹加剧的问题,基于高速列车荷载作用及雨水浸入条件下,建立了轨枕-水流固耦合动力学计算模型。为验证计算模型的正确性,浇筑带裂纹的模型试件,采用万能伺服液压机施加循环动荷载、高灵敏度传感器测量裂纹内水压力,开展了轨枕松动吊空的裂纹内动水压力试验。建立与试验条件一致的理论计算模型,试验数据与理论计算结果之间有误差存在,但是实验曲线与理论结果的变化趋势一致,计算模型具是有效的。以列车速度为300 km/h时为计算实例,分析裂纹内计算点水压力变化特性。计算结果表明:(1)轨枕裂纹内压力随着循环荷载的变化呈正负交替变化;(2)当轨枕上没有外荷载作用时,仍然出现了两次水压力的峰值;(3)轨枕周边裂纹水压力,随着裂纹深度方向增加,裂纹水压力增大。(4)轨枕底部裂纹水压力在轨枕的中心位置达到最大值。","['徐桂弘', '杨斌', '李耀东', '李振学']",5,['铁路运输'],"['国家自然科学基金(51508121)', '贵州省科技厅基金项目(黔科合LH字[2014]7374,黔科合J字[2015]2063)']",6,"['无砟轨道', '轨枕裂纹', '水压力', '循环荷载']",22,"['贵州理工学院', '中交路建交通科技有限公司', '昆山市交通工程质量监督站', '邢台市正阳建筑安装有限公司']",115-120,6,511K,双块式无砟轨道轨枕裂纹内动水压力特性研究,2017
20,"对于黄土隧道来说,围岩的自承力较低,隧道开挖后围岩收敛变形明显且围岩受力不断变化,因此,通过选择合理的开挖工法和支护措施来减小开挖对围岩的扰动就显得十分重要。文章依托某浅埋黄土隧道,详细地分析了三台阶预留核心土和四台阶CD法施工对隧道围岩变形的影响作用。研究结果为安全高效施工提供指导作用。",['付东方'],3,['公路与水路运输'],[],6,"['黄土隧道', '浅埋', '变形控制', '数值分析']",23,['贵阳市水利交通发展投资(集团)有限公司'],121-124,4,316K,开挖工法对浅埋黄土隧道围岩变形的影响作用研究,2017
21,"以贵都高速大跨径预应力混凝土连续刚构桥(芭茅冲大桥)为工程实例,采用有限元程序Midas/Civil对其进行施工过程和运营阶段仿真计算,分析混凝土超重、预应力损失、混凝土收缩徐变、刚度损失等因素对大跨径预应力混凝土连续刚构桥跨中长期挠度的影响。计算结果表明:混凝土超重和桥面铺装施工误差导致的自重增加均可引起桥梁跨中长期挠度增加,徐变系数、环境相对湿度的变化、预应力损失等因素对桥梁跨中长期下挠影响显著;梁体刚度降低跨中长期挠度增加较多,且早期刚度的降低对桥梁跨中挠度增加影响较大。","['杨斌', '陈闯', '韦仕荣', '徐桂弘', '汪权明']",5,['公路与水路运输'],"['国家自然科学基金(51508121)', '贵州省科技厅基金项目(黔科合LH字[2014]7374,黔科合J字[2015]2063)']",6,"['大跨径连续刚构桥', '长期挠度', '影响因素', '仿真分析']",24,"['中交路建交通科技有限公司', '贵州理工学院']",125-131,7,568K,大跨径连续刚构桥长期下挠影响因素分析,2017
22,"公交运营调度是公交行业运营管理的重要步骤,规划合理的行车时间对提高公交的承载率至关重要。本文以企业与乘客两个方面建立公交车发车频率的多目标优化模型,采用遗传算法,用matlab编程求解,并将人工制定方案与本文制定方案在高峰期、平峰期两个时间段的平均发车间隔进行比较。结果表明本文的计算方法性能更优,在满足乘客需求的同时也为公交运营公司提供决策支持,具有较好的应用价值。","['方雅君', '郑长江', '马庚华', '张小丽']",8,['公路与水路运输'],['国家自然科学基金项目资助(51608171)'],6,"['公交调度', '发车频率', '优化', '多目标']",25,"['河海大学土木与交通学院', '港口海岸与近海工程学院']",132-135,4,152K,公交发车频率优化研究,2017
23,"为评估自行车交通的安全程度,建立自行车交通安全评价指标体系及等级标准,利用模糊一致矩阵确定各指标的主观权重,熵权法确定客观权重,引入最小鉴别信息(MDI)原理进行组合赋权。根据可变模糊集理论,构建自行车交通安全评估的MDI组合赋权与可变模糊耦合模型。结合实例进行验证并与其他评估模型的结果进行对比,结果表明:该方法能得到较为准确的自行车交通安全评估结论,也与其他评估模型的评估结果相吻合,为自行车交通安全评估提供新的参考方法。","['李涛', '杨珺', '徐慧刚', '郑辉']",1,['公路与水路运输'],[],6,"['自行车交通', '安全评估', '模糊一致矩阵', '熵权法', '最小鉴别信息', '可变模糊集']",26,"['浙江海洋大学港航与交通运输工程学院', '衢州市衢江区交通运输局']",136-140,5,119K,自行车交通安全评估的MDI组合赋权与可变模糊耦合模型,2017
24,"本文利用(S+)型算子的度理论研究带有狄里克雷边值条件的椭圆方程解的存在性,推广和改进已有的一些结果。",['张庭发'],5,['数学'],['山东省自然科学基金资助项目(ZR2015AM014)'],5,"['椭圆方程', '弱解', '存在性']",1,"['齐鲁师范学院科研处', '山东大学管理学院']",1-3+16,4,124K,一类椭圆方程的弱解的存在性,2017
25,"在n值R0-命题逻辑系统Ln*中,给出公式关于有限理论的一个更为直观的Γ-绝对真度概念,讨论它的一些重要性质和推理规则,并利用Γ-绝对真度定义公式间的Γ-绝对相似度和伪距离。","['李顺琴', '王泽阳']",2,['数学'],"['国家自然科学基金项目资助(11471007)', '陕西省科技计划项目资助(2014k15-03-07)', '2016年国家级大学生创新创业训练计划项目资助(201610719003)']",5,"['R0-命题逻辑系统', 'Γ-绝对真度', 'Γ-绝对相似度', '伪距离']",2,['延安大学数学与计算机科学学院'],4月7日,4,134K,n值命题逻辑系统L_n~*中公式Γ-的绝对真度理论,2017
26,"应用Hodge分解定理,得到一类齐次A-调和方程组很弱解的部分正则性结果。进一步地,利用A-调和逼近技巧,证明很弱解是最优H9lder连续的。","['赵青', '陈淑红']",5,['数学'],['国家自然科学基金项目资助(11571159)'],5,"['齐次A-调和方程组', '很弱解', '最优部分正则性', 'Hodge分解', 'A-调和逼近技巧']",3,['闽南师范大学数学与统计学院'],8月12日,5,144K,一类齐次A-调和方程组很弱解的最优部分正则性,2017
27,"通过构造新的微分系统,给出了研究具脉冲影响的二维Lotka-Volterra系统平衡点稳定性的新方法,同时证明该方法也可应用到一般的二维脉冲微分系统中,最后用例子验证结论的有效性。",['唐晓伟'],5,['数学'],"['国家自然科学基金项目资助(11571208)', '山东省高校科技计划项目资助(J16LI13)']",5,"['首次积分', '稳定性', '脉冲']",4,['齐鲁师范学院数学学院'],13-16,4,119K,基于首次积分的脉冲Lotka-Volterra系统的稳定性,2017
28,"给出M-矩阵A与A-1的下界估计式,改进已有的某些结果。新估计式都只依赖于矩阵的元素,易于计算。",['王辉宇'],1,['数学'],['国家自然科学基金项目资助(11501141)'],5,"['M-矩阵', 'Hadamard积', '最小特征值']",5,['北京城市学院职业技术学院'],17-19,3,109K,M-矩阵与其逆矩阵的Hadamard积的最小特征值下界估计,2017
29,"建立了B-值广义泛函意义下的量子随机Cable方程,讨论了其解的存在性和唯一性。","['唐玉玲', '陈金淑']",6,['数学'],"['河西学院青年基金(QN2014-12)', '河西学院校长基金(XZ201501)']",5,"['白噪声', 'B-值广义泛函', '量子随机Cable方程', '解']",6,"['河西学院数学与统计学院', '兰州理工大学理学院']",20-24+32,6,146K,B-值广义泛函意义下的量子随机Cable方程,2017
30,"变系数模型(VCM)是经典线性模型的推广,其回归系数随协变量而变化。系数函数可以通过B样条估计,这产生了一步估计过程。我们展示这种一步B样条估计的方法不能在最优时不同的系数函数拥有不同的光滑度。本文使用两步估计来克服一步估计的缺点,给出两步估计的相合性,渐近正态性。模拟研究表明,在样本有限的情况下,本文的方法要比一步B样条估计更优,提高了系数函数估计的精确度。","['金君', '戴家佳', '杜彦斌']",21,['数学'],['国家自然科学基金资助项目(11361015)'],5,"['变系数模型', 'B样条', 'BIC信息准则', '二步估计', '最小二乘']",7,['贵州大学数学与统计学院'],25-32,8,425K,变系数模型的二步B样条估计,2017
31,"在本文中,我们首先建立了含Riemann-Liouville分数阶积分的二次可微积分恒等式。其次,基于建立的积分恒等式,我们推导出一些新的含Riemann-Liouville分数阶积分的预不变凸函数的二阶导数的Hermite Hadamard型不等式。最后,给出了一些其在特殊均值不等式上的应用。","['王柳伟', '叶明武', '袁权龙']",12,['数学'],['贵州省教育厅高校人文社科青年基金项目(701275122101)'],5,"['Hermite-Hadamard型积分不等式', '分数阶积分', 'Riemann-Liouville型', '预不变凸函数']",8,['贵州大学数学与统计学院'],33-37+48,6,139K,预不变凸函数与一类Hermite-Hadamard型分数阶积分不等式,2017
32,"利用AM真菌单孢与烟草Ri-TDNA转型根建立了离体双重培养体系,该体系产生了大量孢子,通过孢子形态特征和18S r DNA AML1-AML2区序列的系统发育分析进行种属鉴定,鉴定出该菌种为珠状巨孢囊霉Gigaspora margarita。","['骆礼华', '姚刘斌', '江龙']",16,['生物学'],"['国家科技支撑项目资助(2015BAD04B0204)', '贵州省科学技术基金项目资助(黔科合J字[2009]2282号)']",5,"['烟草毛状根', 'AM真菌', '分子系统发育分析']",9,"['贵州大学生命科学学院', '贵州大学贵州省烟草品质研究重点实验室']",38-42,5,649K,双重培养体系中AM真菌孢子的种类鉴定,2017
