,abstract,author,download_number,field,foundation,issue,keyword,number,organization,page,page_number,size,title,year
1215,"本文讨论一类脉冲时刻依赖于状态的线性微分方程的初值问题,给出了解的存在唯一性。进而推广连续依赖性的概念,在新的意义下,获得了解连续依赖于初值和参数。所得结论有助于深入揭示脉冲时刻依赖于状态的微分方程的本质属性。","['康英', '彭云飞']",73,['数学'],"['国家自然科学基金(10961009)', '霍英东教育基金(121104)', '贵州大学博士人才基金(2010031)']",1,"['脉冲依赖于状态的微分方程', '解', '连续依赖性']",2,['贵州大学数学系'],1-4+13,5,168K,一类脉冲时刻依赖于状态的线性常微分方程,2011
1216,"在巴拿赫空间中利用算子半群理论和巴拿赫压缩原理讨论了在非李普希兹条件下,半线性发展方程的概自守以及其加权伪概自守解的存在性和唯一性。","['张荣娟', '宋晓秋', '刘春景']",51,['数学'],['中央高校基本科研业务费专项资金(LK0104)'],1,"['半线性', '概自守', '加权伪概自守', '巴拿赫']",3,['中国矿业大学理学院'],5月8日,4,101K,非李普希兹条件下半线性发展方程的概自守与加权伪概自守解,2011
1217,"本文在一定可积条件下,得到临界与超临界情况下,二阶拟椭圆方程的D irichlet问题广义解的正则性,所用方法是对临界项和超临界项进行仔细积分估计。",['谢朝东'],18,['数学'],[],1,"['椭圆方程', '正则性', '广义解', '积分估计', '临界指数']",4,['贵州民族学院'],9月13日,5,162K,一般的具有超临界增长拟线性椭圆方程与方程组广义解的L~∞估计,2011
1218,"本文研究了可换环上矩阵代数的三重导子,通过构造特殊矩阵并利用这些矩阵进行运算,得到任意一个三重导子都可以分解为内导子和倍乘映射之和,从而决定了含幺可换环上矩阵代数的所有三重导子,进而推广了导子的概念。","['孔祥源', '李娜娜', '周丽丽']",23,['数学'],[],1,"['全矩阵代数', '导子', '三重导子', '可换环']",5,['中国矿业大学理学院'],14-16+34,4,138K,可换环上矩阵代数的三重导子,2011
1219,"本文引入了新的不动点问题良定的定义,应用有限理性模型M研究了良定不动点问题,给出了不动点问题良定的充分条件。","['刘益波', '高维']",37,['数学'],['贵州大学研究生创新基金[校研理工2010040]'],1,"['有限理性', '不动点', '良定']",6,"['贵州大学理学院', '东莞市长安中学']",17-18+34,3,83K,考虑有限理性的良定不动点问题研究,2011
1220,"本文采用Stillinger-Weber势函数,对液态锗的快速凝固过程进行了分子动力学模拟,运用均方位移(mean square displacement,MSD),对相关函数(pair correlation function PCF),配位数(coordination number)和Wendt-Abraham关系式分析锗快速凝固过程中微观结构的变化。模拟得到液态锗的对相关函数和实验基本一致,说明Stillinger-Weber势准确反映了锗原子之间的受力情况,Stillinger-Weber势模拟锗的熔点在2100 K左右。冷却过程中,对相关函数第一峰随温度的降低而逐渐变尖锐,第二峰逐渐分裂为前低后高的两个次峰,由此表明快速凝固过程中得到的是非晶态锗。模拟结果表明,锗凝固的温度范围是1200-600 K,玻璃转化温度Tg为646 K.","['朱长银', '谢泉', '高廷红']",140,['金属学及金属工艺'],"['国家自然科学基金项目(60766002)', '科技部国际合作专项项目(2008DFA52210)', '贵州省研究生创新基金(省研理工2010010)']",1,"['分子动力学模拟', 'Stillinger-Weber势', '液态锗', '对相关函数', 'HA键型指数法']",7,"['贵州大学材料与冶金学院', '贵州大学理学院']",19-22,4,250K,液态锗快速凝固过程中的分子动力学模拟,2011
1221,"贵阳乌当地区湄潭组下段化石丰富,笔石、腕足类最为常见。腕足类计有10属10种,分属于4目5超科6科,具明显的多样性,其中Sinorthis数量最多,乌当湄潭组下段的腕足动物组合属于Sinorthis动物群。该段地层腕足动物的研究提供了黔中地区早奥陶世腕足动物辐射演化的新信息,也为整个奥陶纪生物辐射演化的研究积累了资料。","['孙海静', '杨宇宁', '彭进', '赵元龙', '杨兴莲']",140,['生物学'],"['国家自然科学基金(40672001)', '现代古生物及地层学国家重点实验室(中国科学院南京地质古生物研究所)基金(113111)', '贵州大学人才引进基金(贵大人基金字:2010021)', '贵州大学国家大学生创新性实验计划项目基金(贵大国创字(2008)013号)']",1,"['腕足动物', '湄潭组下段', '早奥陶世', '贵阳乌当']",8,['贵州大学资源与环境工程学院'],23-29,7,1731K,贵阳乌当早奥陶世湄潭组下段腕足动物组合特征,2011
1222,"遵义丁台镍钼矿床产于松林穹窿西侧的下寒武统牛蹄塘组底部的黑色岩系中,矿体呈薄层及扁豆状产出,厚0.04-0.08 m,个别扁豆体厚达0.2 m左右。本文通过对矿区岩、矿石特征的研究,初步分析丁台镍钼矿床成因。","['张梅江', '张双菊', '谭月', '李明琴']",122,"['矿业工程', '地质学']",['国家自然科学基金项目(NO.46302001)'],1,"['镍钼矿床', '岩、矿石特征', '矿床成因', '遵义丁台', '贵州']",9,"['贵州大学资源与环境工程学院', '贵州省地质调查院']",30-34,5,262K,贵州遵义丁台镍钼矿床岩、矿石特征及其成因初探,2011
1223,"晴隆沙子红土型金、银矿产于碧痕营穹窿状背斜北西翼,矿床由3个矿体组成,分布于茅口灰岩喀斯特负地形的第四系松散堆积物中。矿体呈似层状、透镜状及漏斗状产出,厚4.50-43.00 m,平均厚17.4 m.矿床的形成经历了矿源体形成期和表生作用成矿期,初步认为是喀斯特崩塌堆积红土型及原地残积红土型金、银矿床。","['张双菊', '李俊海', '张梅江']",75,"['矿业工程', '地质学']",['国家自然科学基金项目(NO.46302001)'],1,"['红土型金、银矿', '地质特征', '矿床成因', '晴隆沙子', '贵州']",10,"['贵州大学资源与环境工程学院', '贵州省地矿局105地质队']",35-38+43,5,479K,贵州晴隆沙子红土型金、银矿床地质特征及成因初探,2011
1224,"晚二叠世乐平期,最为强烈、规模最大的一次峨眉地幔热柱强烈活动在贵州西部形成西北高、东南低的古地理格局。沉积相带由早二叠世的近东西向变为晚二叠世北东向排布。沉积相带由西向东,由陆相渐变为海陆交替相,最后变为海相环境。在贵州西北部的威宁一带形成陆相沉积环境。遵义至安顺一线以西的黔西和黔西南地区,属于海陆交替的陆地边缘相区,其主体为潮坪-泻湖环境,海陆交替相带之南东,属碳酸盐台地相区。贵州煤矿主要产于海陆交替相区。","['聂爱国', '陈松']",172,"['矿业工程', '地质学']","['贵州大学矿物学岩石学矿床学博士点专题建设项目(2006)', '贵州大学引进人才科研项目(贵大人基合字2008)']",1,"['峨眉地幔热柱活动', '二叠系煤', '形成环境', '沉积相', '贵州西部']",11,['贵州大学资源与环境工程学院'],39-43,5,451K,峨眉地幔热柱活动与贵州西部二叠系煤的形成环境研究,2011
